synset_id,synset_name,definition
n04251144,snorkel,breathing device consisting of a bent tube fitting into a swimmer's mouth and extending above the surface; allows swimmer to breathe while face down in the water
n04252077,snowmobile,tracked vehicle for travel on snow having skis in front
n04252225,snowplow,a vehicle used to push snow from roads
n04254120,soap_dispenser,dispenser of liquid soap
n04254680,soccer_ball,an inflated ball used in playing soccer
n04254777,sock,hosiery consisting of a cloth covering for the foot; worn inside the shoe; reaches to between the ankle and the knee
n04258138,solar_dish,a concave mirror that concentrates the rays of the sun; can produce high temperatures
n04259630,sombrero,a straw hat with a tall crown and broad brim; worn in American southwest and in Mexico
n04263257,soup_bowl,a bowl for serving soup
n04264628,space_bar,the bar-shaped typewriter key that introduces spaces when used
n04265275,space_heater,heater consisting of a self-contained (usually portable) unit to warm a room
n04266014,space_shuttle,a reusable spacecraft with wings for a controlled descent through the Earth's atmosphere
n04270147,spatula,a turner with a narrow flexible blade
n04273569,speedboat,a fast motorboat
n04275548,spider_web,a web resembling the webs spun by spiders
n04277352,spindle,a stick or pin used to twist the yarn in spinning
n04285008,sports_car,a small low car with a high-powered engine; usually seats two persons
n04286575,spotlight,a lamp that produces a strong beam of light to illuminate a restricted area; used to focus attention of a stage performer
n04296562,stage,a large platform on which people can stand and can be seen by an audience
n04310018,steam_locomotive,a locomotive powered by a steam engine
n04311004,steel_arch_bridge,a steel bridge constructed in the form of an arch
n04311174,steel_drum,a concave percussion instrument made from the metal top of an oil drum; has an array of flattened areas that produce different tones when struck (of Caribbean origin)
n04317175,stethoscope,a medical instrument for listening to the sounds generated inside the body
n04325704,stole,a wide scarf worn about their shoulders by women
n04326547,stone_wall,a fence built of rough stones; used to separate fields
n04328186,stopwatch,a timepiece that can be started or stopped for exact timing (as of a race)
n04330267,stove,any heating apparatus
n04332243,strainer,a filter to retain larger pieces while smaller pieces and liquids pass through
n04335435,streetcar,a wheeled vehicle that runs on rails and is propelled by electricity
n04336792,stretcher,a litter for transporting people who are ill or wounded or dead; usually consists of a sheet of canvas stretched between two poles
n04344873,studio_couch,convertible consisting of an upholstered couch that can be converted into a double bed
n04346328,stupa,a dome-shaped shrine erected by Buddhists
n04347754,submarine,a submersible warship usually armed with torpedoes
n04350905,suit,a set of garments (usually including a jacket and trousers or skirt) for outerwear all of the same fabric and color
n04355338,sundial,timepiece that indicates the daylight hours by the shadow that the gnomon casts on a calibrated dial
n04355933,sunglass,a convex lens that focuses the rays of the sun; used to start a fire
n04356056,sunglasses,spectacles that are darkened or polarized to protect the eyes from the glare of the sun
n04357314,sunscreen,a cream spread on the skin; contains a chemical (as PABA) to filter out ultraviolet light and so protect from sunburn
n04366367,suspension_bridge,a bridge that has a roadway supported by cables that are anchored at both ends
n04367480,swab,cleaning implement consisting of absorbent material fastened to a handle; for cleaning floors
n04370456,sweatshirt,cotton knit pullover with long sleeves worn during athletic activity
n04371430,swimming_trunks,swimsuit worn by men while swimming
n04371774,swing,mechanical device used as a plaything to support someone swinging back and forth
n04372370,switch,control consisting of a mechanical or electrical or electronic device for making or breaking or changing the connections in a circuit
n04376876,syringe,a medical instrument used to inject or withdraw fluids
n04380533,table_lamp,a lamp that sits on a table
n04389033,tank,an enclosed armored military vehicle; has a cannon and moves on caterpillar treads
n04392985,tape_player,electronic equipment for playing back magnetic tapes
n04398044,teapot,pot for brewing tea; usually has a spout and handle
n04399382,teddy,plaything consisting of a child's toy bear (usually plush and stuffed with soft materials)
n04404412,television,a telecommunication system that transmits images of objects (stationary or moving) between distant points
n04409515,tennis_ball,ball about the size of a fist used in playing tennis
n04417672,thatch,a house roof made with a plant material (as straw)
n04418357,theater_curtain,a hanging cloth that conceals the stage from the view of the audience; rises or parts at the beginning and descends or closes between acts and at the end of a performance
n04423845,thimble,a small metal cap to protect the finger while sewing; can be used as a small container
n04428191,thresher,a farm machine for separating seeds or grain from the husks and straw
n04429376,throne,"the chair of state for a monarch, bishop, etc."
n04435653,tile_roof,a roof made of fired clay tiles
n04442312,toaster,a kitchen appliance (usually electric) for toasting bread
n04443257,tobacco_shop,a shop that sells pipes and pipe tobacco and cigars and cigarettes
n04447861,toilet_seat,the hinged seat on a toilet
n04456115,torch,a light usually carried in the hand; consists of some flammable substance
n04458633,totem_pole,a tribal emblem consisting of a pillar carved and painted with totemic figures; erected by Indian tribes of the northwest Pacific coast
n04461696,tow_truck,a truck equipped to hoist and pull wrecked cars (or to remove cars from no-parking zones)
n04462240,toyshop,shop where toys are sold
n04465501,tractor,a wheeled vehicle with large wheels; used in farming and other applications
n04467665,trailer_truck,a truck consisting of a tractor and trailer together
n04476259,tray,an open receptacle for holding or displaying or serving articles or food
n04479046,trench_coat,a military style raincoat; belted with deep pockets
n04482393,tricycle,a vehicle with three wheels that is moved by foot pedals
n04483307,trimaran,a fast sailboat with 3 parallel hulls
n04485082,tripod,a three-legged rack used for support
n04486054,triumphal_arch,a monumental archway; usually they are built to commemorate some notable victory
n04487081,trolleybus,a passenger bus with an electric motor that draws power from overhead wires
n04487394,trombone,a brass instrument consisting of a long tube whose length can be varied by a U-shaped slide
n04493381,tub,a large open vessel for holding or storing liquids
n04501370,turnstile,a gate consisting of a post that acts as a pivot for rotating arms; set in a passageway for controlling the persons entering
n04505470,typewriter_keyboard,a keyboard for manually entering characters to be printed
n04507155,umbrella,a lightweight handheld collapsible canopy
n04509417,unicycle,a vehicle with a single wheel that is driven by pedals
n04515003,upright,a piano with a vertical sounding board
n04517823,vacuum,an electrical home appliance that cleans by suction
n04522168,vase,an open jar of glass or porcelain used as an ornament or to hold flowers
n04523525,vault,an arched brick or stone ceiling or roof
n04525038,velvet,a silky densely piled fabric with a plain back
n04525305,vending_machine,a slot machine for selling goods
n04532106,vestment,gown (especially ceremonial garments) worn by the clergy
n04532670,viaduct,bridge consisting of a series of arches supported by piers used to carry a road (or railroad) over a valley
n04536866,violin,bowed stringed instrument that is the highest member of the violin family; this instrument has four strings and a hollow body and an unfretted fingerboard and is played with a bow
n04540053,volleyball,an inflated ball used in playing volleyball
n04542943,waffle_iron,a kitchen appliance for baking waffles; the appliance usually consists of two indented metal pans hinged together so that they create a pattern on the waffle
n04548280,wall_clock,a clock mounted on a wall
n04548362,wallet,a pocket-size case for holding papers and paper money
n04550184,wardrobe,a tall piece of furniture that provides storage space for clothes; has a door and rails or hooks for hanging clothes
n04552348,warplane,an aircraft designed and used for combat
n04553703,washbasin,a basin for washing the hands (`wash-hand basin' is a British expression)
n04554684,washer,a home appliance for washing clothes and linens automatically
n04557648,water_bottle,a bottle for holding water
n04560804,water_jug,a jug that holds water
n04562935,water_tower,a large reservoir for water
n04579145,whiskey_jug,a jug that contains whiskey
n04579432,whistle,acoustic device that forces air or steam against an edge or into a cavity and so produces a loud shrill sound
n04584207,wig,hairpiece covering the head and made of real or synthetic hair
n04589890,window_screen,screen to keep insects from entering a building through the open window
n04590129,window_shade,an opaque window blind that can cover or uncover a window
n04591157,windsor_tie,a wide necktie worn in a loose bow
n04591713,wine_bottle,a bottle for holding wine
n04592741,wing,one of the horizontal airfoils on either side of the fuselage of an airplane
n04596742,wok,pan with a convex bottom; used for frying in Chinese cooking
n04597913,wooden_spoon,a spoon made of wood
n04599235,wool,a fabric made from the hair of sheep
n04604644,worm_fence,rail fence consisting of a zigzag of interlocking rails
n04606251,wreck,a ship that has been destroyed at sea
n04612504,yawl,a ship's small boat (usually rowed by 4 or 6 oars)
n04613696,yurt,a circular domed dwelling that is portable and self-supporting; originally used by nomadic Mongol and Turkic people of central Asia but now used as inexpensive alternative or temporary housing
n06359193,web_site,a computer connected to the internet that maintains a series of web pages on the World Wide Web
n06596364,comic_book,a magazine devoted to comic strips
n06785654,crossword_puzzle,a puzzle in which words corresponding to numbered clues are to be found and written in to squares in the puzzle
n06794110,street_sign,a sign visible from the street
n06874185,traffic_light,a visual signal to control the flow of traffic at intersections
n07248320,book_jacket,a paper jacket for a book; a jacket on which promotional information is usually printed
n07565083,menu,the dishes making up a meal
n07579787,plate,a main course served on a plate
n07583066,guacamole,a dip made of mashed avocado mixed with chopped onions and other seasonings
n07584110,consomme,clear soup usually of beef or veal or chicken
n07590611,hot_pot,a stew of meat and potatoes cooked in a tightly covered pot
n07613480,trifle,"a cold pudding made of layers of sponge cake spread with fruit or jelly; may be decorated with nuts, cream, or chocolate"
n07614500,ice_cream,frozen dessert containing cream and sugar and flavoring
n07615774,ice_lolly,ice cream or water ice on a small wooden stick
n07684084,french_loaf,a loaf of French bread
n07693725,bagel,(Yiddish) glazed yeast-raised doughnut-shaped roll with hard crust
n07695742,pretzel,glazed and salted cracker typically in the shape of a loose knot
n07697313,cheeseburger,a hamburger with melted cheese on it
n07697537,hotdog,a frankfurter served hot on a bun
n07711569,mashed_potato,potato that has been peeled and boiled and then mashed
n07714571,head_cabbage,any of several varieties of cabbage having a large compact globular head; may be steamed or boiled or stir-fried or used raw in coleslaw
n07714990,broccoli,branched green undeveloped flower heads
n07715103,cauliflower,compact head of white undeveloped flowers
n07716358,zucchini,small cucumber-shaped vegetable marrow; typically dark green
n07716906,spaghetti_squash,medium-sized oval squash with flesh in the form of strings that resemble spaghetti
n07717410,acorn_squash,small dark green or yellow ribbed squash with yellow to orange flesh
n07717556,butternut_squash,buff-colored squash with a long usually straight neck and sweet orange flesh
n07718472,cucumber,cylindrical green fruit with thin green rind and white flesh eaten as a vegetable; related to melons
n07718747,artichoke,a thistlelike flower head with edible fleshy leaves and heart
n07720875,bell_pepper,large bell-shaped sweet pepper in green or red or yellow or orange or black varieties
n07730033,cardoon,only parts eaten are roots and especially stalks (blanched and used as celery); related to artichokes
n07734744,mushroom,fleshy body of any of numerous edible fungi
n07742313,granny_smith,apple with a green skin and hard tart flesh
n07745940,strawberry,sweet fleshy red fruit
n07747607,orange,round yellow to orange fruit of any of several citrus trees
n07749582,lemon,yellow oval fruit with juicy acidic flesh
n07753113,fig,fleshy sweet pear-shaped yellowish or purple multiple fruit eaten fresh or preserved or dried
n07753275,pineapple,large sweet fleshy tropical fruit with a terminal tuft of stiff leaves; widely cultivated
n07753592,banana,elongated crescent-shaped yellow fruit with soft sweet flesh
n07754684,jackfruit,immense East Indian fruit resembling breadfruit; it contains an edible pulp and nutritious seeds that are commonly roasted
n07760859,custard_apple,the fruit of any of several tropical American trees of the genus Annona having soft edible pulp
n07768694,pomegranate,large globular fruit having many seeds with juicy red pulp in a tough brownish-red rind
n07802026,hay,grass mowed and cured for use as fodder
n07831146,carbonara,sauce for pasta; contains eggs and bacon or ham and grated cheese
n07836838,chocolate_sauce,sauce made with unsweetened chocolate or cocoa and sugar and water
n07860988,dough,a flour mixture stiff enough to knead or roll
n07871810,meat_loaf,a baked loaf of ground meat
n07873807,pizza,Italian open pie made of thin bread dough spread with a spiced mixture of e.g. tomato sauce and cheese
n07875152,potpie,deep-dish meat and vegetable pie or a meat stew with dumplings
n07880968,burrito,a flour tortilla folded around a filling
n07892512,red_wine,wine having a red color derived from skins of dark-colored grapes
n07920052,espresso,strong black coffee brewed by forcing hot water under pressure through finely ground coffee beans
n07930864,cup,a punch served in a pitcher instead of a punch bowl
n07932039,eggnog,a punch made of sweetened milk or cream mixed with eggs and usually alcoholic liquor
n09193705,alp,any high mountain
n09229709,bubble,"a hollow globule of gas (e.g., air or carbon dioxide)"
n09246464,cliff,a steep high face of rock
n09256479,coral_reef,a reef consisting of coral consolidated into limestone
n09288635,geyser,a spring that discharges hot water and steam
n09332890,lakeside,the shore of a lake
n09399592,promontory,a natural elevation (especially a rocky one that juts out into the sea)
n09421951,sandbar,a bar of sand
n09428293,seashore,the shore of a sea or ocean
n09468604,valley,a long depression in the surface of the land that usually contains a river
n09472597,volcano,a mountain formed by volcanic material
n09835506,ballplayer,an athlete who plays baseball
n10148035,groom,a man participant in his own marriage ceremony
n10565667,scuba_diver,an underwater diver who uses scuba gear
n11879895,rapeseed,seed of rape plants; source of an edible oil
n11939491,daisy,any of numerous composite plants having flower heads with well-developed ray flowers usually arranged in a single whorl
n12057211,yellow_lady's_slipper,"maroon to purple-brown orchid with yellow lip; Europe, North America and Japan"
n12144580,corn,the dried grains or kernels or corn used as animal feed or ground for meal
n12267677,acorn,fruit of the oak tree: a smooth thin-walled nut in a woody cup-shaped base
n12620546,hip,the fruit of a rose plant
n12768682,buckeye,the inedible nutlike seed of the horse chestnut
n12985857,coral_fungus,any of numerous fungi of the family Clavariaceae often brightly colored that grow in often intricately branched clusters like coral
n12998815,agaric,a saprophytic fungus of the order Agaricales having an umbrellalike cap with gills on the underside
n13037406,gyromitra,any fungus of the genus Gyromitra
n13040303,stinkhorn,any of various ill-smelling brown-capped fungi of the order Phallales
n13044778,earthstar,any fungus of the family Geastraceae; in form suggesting a puffball whose outer peridium splits into the shape of a star
n13052670,hen-of-the-woods,large greyish-brown edible fungus forming a mass of overlapping caps that somewhat resembles a hen at the base of trees
n13054560,bolete,any fungus of the family Boletaceae
n13133613,ear,fruiting spike of a cereal plant especially corn
n15075141,toilet_tissue,a soft thin absorbent paper for use in toilets
